record_id,scenario,expected_annual_loss_nzd,events_exposed,OBJECTID,asset_type,asset_group,asset_id,VALIDATIONSTATE,GlobalID,description,SITE,site_description,local_board,STREETNAME,STREETNUMBER,city,replacement_value_nzd,criticality_score,priority_score,risk_band
park-1352,slr_1m_mitigated,0.0,2,1352,Playground - Public Access,Playground Location,11221-L100-230-EXW-001,3,d92678de-ab97-48de-b36b-224e96b69cd9,PS_Playground-Glasgow Park (Lions),11221,Glasgow Park,Rodney,Muriwai Road,65,North Shore,300000.0,2,0.0,No modelled exposure
park-1353,slr_1m_mitigated,0.0,0,1353,Playground - Public Access,Playground Location,10637-L100-230-EXW-001,3,00ae4f19-3c17-44c1-8a4b-731643790135,PS_Playground,10637,Inverell Park,Manurewa,Inverell Avenue,11R,Manukau,300000.0,2,0.0,No modelled exposure
park-1354,slr_1m_mitigated,0.0,0,1354,Playground - Public Access,Playground Location,22935-L100-230-EXW-001,3,fbdd8ce9-7379-4139-9d2a-0053228842d1,PS_Playground,22935,Megan Park,Howick,Megan Avenue,3R,Auckland,300000.0,2,0.0,No modelled exposure
park-1355,slr_1m_mitigated,0.0,0,1355,Playground - Public Access,Playground Location,10596-L100-230-EXW-001,3,914bd74a-873c-4b83-9bcc-683c6d48dde0,PS_Playground-Claymore St frontage,10596,Leabank Park,Manurewa,Claymore Street,30R,Auckland,300000.0,2,0.0,No modelled exposure
park-1356,slr_1m_mitigated,0.0,0,1356,Playground - Public Access,Playground Location,20241-L100-230-EXW-001,3,97a36d6d-3229-4642-bc59-4de568fb31dd,PS_Playground,20241,Dairyland Park,Howick,Dairyland Drive,17R,Auckland,300000.0,2,0.0,No modelled exposure
park-1357,slr_1m_mitigated,0.0,0,1357,Playground - Public Access,Playground Location,22755-L100-230-EXW-001,3,bda874dd-e2df-4591-a99d-dcc42fc06550,PS_Playground,22755,Manukau Park,Mangere-Otahuhu,Muir Avenue,96R,Auckland,300000.0,2,0.0,No modelled exposure
park-1358,slr_1m_mitigated,0.0,0,1358,Playground - Public Access,Playground Location,21651-L100-230-EXW-002,3,d54b88d8-39b7-4d22-baae-cd97c609ffa0,PS_Playground-Otago Pl end,21651,Boggust Park,Mangere-Otahuhu,Lenore Road,55R,Auckland,300000.0,2,0.0,No modelled exposure
park-1359,slr_1m_mitigated,0.0,0,1359,Playground - Public Access,Playground Location,21705-L100-230-EXW-001,3,e75d022f-2d85-4a00-a164-c75e2cfa22b2,PS_Playground,21705,Otahuhu/Mt Richmond,Maungakiekie-Tamaki,Mt Wellington Highway,645,Auckland,300000.0,2,0.0,No modelled exposure
park-136,slr_1m_mitigated,0.0,0,136,Public Toilet,Building Level 3,10455-B002-151,3,796ecdf1-28c1-438a-bb64-c36ff0c35dc6,Toilet - Michael Joseph Savage Memorial,10455,Michael Joseph Savage Memorial,Orakei,Hapimana Street,9-15,Auckland,450000.0,3,0.0,No modelled exposure
park-1360,slr_1m_mitigated,0.0,0,1360,Playground - Public Access,Playground Location,10514-L100-230-EXW-001,3,3094d16d-2bb7-4e13-8052-6e06d654c647,PS_Playground-Behind playcentre building,10514,Wellington Street Reserve - Pukekohe,Franklin,Wellington Street,190,Pukekohe,300000.0,2,0.0,No modelled exposure
