record_id,asset_id,description,site_description,asset_type,asset_group,local_board,planning_area,replacement_value_nzd,criticality_score,coastal_current_eal_nzd,coastal_slr_1m_eal_nzd,liquefaction_overlap_matches,liquefaction_vulnerability,liquefaction_mapped,liquefaction_review_flag,liquefaction_unrecognised_category,coastal_current_exposed,coastal_slr_1m_exposed,screening_flag_count,screening_attention
park-771,21852-B001-151,Toilet- (Northall Park)On E Park,Northall Park,Public Toilet,Building Level 3,Whau,Whau,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-774,22222-B001-151,Toilet- (Leigh Wharf Reserve),Leigh Wharf Reserve,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-776,22287-B002-151,Toilet (Kowhai Park)-Car Park,Kowhai Park,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-778,22389-B151-102,Whangaparaoa Library - Ground,Whangaparaoa Community Centre,Library,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,15000000.0,5,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-779,22402-B001-151,Toilet-At End Next To Boat Ramp,Hardley Avenue Beach Accessway,Public Toilet,Building Level 3,Hibiscus and Bays,Hibiscus and Bays,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-78,10174-B002-151,Toilet - Wi17 (End Shelly Beach Road),Putiki Reserve,Public Toilet,Building Level 3,Waiheke,Waiheke-Great Barrier,450000.0,3,0.0,0.0,0,Not mapped,False,False,False,False,False,0,No elevated flag
park-780,22446-B001-151,Toilet-Top Of Reserve,Brick Bay Drive - Puriri Place Reserve,Public Toilet,Building Level 3,Rodney,Rodney,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-784,22823-B001-151,Toilet-(Maraetai Dressing Sheds Res),Maraetai Dressing Sheds Reserve,Public Toilet,Building Level 3,Franklin,Franklin,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-785,23222-B001-151,Toilet-Otara TC-Male-N Bairds Rd pgrd,Otara Town Centre,Public Toilet,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-786,23222-B002-151,Toilet-Otara TC-Female-N Bairds Rd pgrd,Otara Town Centre,Public Toilet,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-788,23877-B001-151,"Ranui Library-431 Swanson Road,Ranui","Ranui Library-431 Swanson Road, Ranui",Library,Building Level 3,Henderson-Massey,Henderson-Massey,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-789,10745-B001-152,Changing rooms,Jellicoe Park,Changing Shed,Building Level 3,Manurewa,Manurewa,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-79,10189-B003-100,"Leys Institute, Library",Leys Institute Community Library & Hall,Library,Building Level 3,Waitemata,Waitemata,15000000.0,5,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-790,10593-B001-152,ÅŒhuiarangi Changing Rooms,Ohuiarangi/Pigeon Mountain,Changing Shed,Building Level 3,Howick,Howick,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-791,10591-B005-153,MSB Grandstand Changerooms,Manukau Sports Bowl & Velodrome,Changing Shed,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-793,10180-B001-151,ZZZ_Toilet (novaloo)-Cnr Mt Eden Rd/Duke,Te Tatua a Riukiuta/Big King,Public Toilet,Building Level 3,Puketapapa,Puketapapa,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-794,10471-B010-102,Farm Display Centre Changerooms,Te Ara i Tautahi/Ambury Regional Park,Changing Shed,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-795,10591-B005-152,Velodrome Toilet,Manukau Sports Bowl & Velodrome,Public Toilet,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-796,22940-B004-102,Te Pane-o-Mataaho/Mangere Toilet-Soccer,Te Pane-o-Mataaho/Mangere Mountain,Public Toilet,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
