scenario,planning_area,portfolio_assets,assets_with_modelled_loss,illustrative_portfolio_value_nzd,expected_annual_loss_nzd,local_board_group,households_2022,households_2052,population_2022,population_2052,employment_2022,employment_2052,households_growth_rate,households_cagr,population_growth_rate,population_cagr,employment_growth_rate,employment_cagr,growth_data_mapped,auckland_population_growth_rate,above_auckland_population_growth,future_population_eal_per_1000_nzd
baseline,Mangere-Otahuhu,94,2,111300000.0,8527.5,Mangere-Otahuhu,23011.0,35719.0,86650.0,126436.0,48266.0,63445.0,0.5522576159228194,0.014764953991187824,0.4591575302942874,0.01267496280228464,0.3144863879335349,0.009156533893873053,True,0.35249722687603824,True,67.44518966117245
baseline,Puketapapa,49,1,33900000.0,2475.0,Puketapapa,19053.0,29696.0,59880.0,92369.0,14478.0,20208.0,0.5585996955859969,0.01490288309601251,0.5425684702738811,0.01455317662946598,0.39577289680895156,0.011176944141868095,True,0.35249722687603824,True,26.794703850859054
baseline,Albert-Eden,89,0,76450000.0,0.0,Albert-Eden,33031.0,53320.0,97440.0,158749.0,53880.0,78402.0,0.6142411673882111,0.016090241949744843,0.6291974548440065,0.016402654862716748,0.4551224944320713,0.01258149217291371,True,0.35249722687603824,True,0.0
baseline,Henderson-Massey,135,0,162770000.0,0.0,Henderson-Massey,41279.0,60910.0,124940.0,173837.0,42597.0,56318.0,0.47556869110201316,0.01305256629777829,0.39136385465023205,0.011070309249504362,0.322111885813555,0.00935113020301137,True,0.35249722687603824,True,0.0
baseline,Kaipatiki,97,0,92750000.0,0.0,Kaipatiki,30839.0,35092.0,90120.0,97841.0,34001.0,44264.0,0.13790978955219035,0.004315721401893624,0.08567465601420321,0.0027438105945465363,0.3018440634098998,0.008831495213859952,True,0.35249722687603824,False,0.0
baseline,Manurewa,85,0,75250000.0,0.0,Manurewa,30654.0,36889.0,106540.0,124787.0,28283.0,34941.0,0.2033992301167873,0.006190758826433607,0.1712690069457481,0.005283501469357743,0.2354064278895449,0.007071553089467608,True,0.35249722687603824,False,0.0
baseline,Orakei,78,0,61700000.0,0.0,Orakei,30689.0,40961.0,84380.0,111950.0,26323.0,36299.0,0.33471276353090684,0.009670328700274844,0.3267361934107609,0.009468610867064964,0.3789841583406146,0.010769144621694426,True,0.35249722687603824,False,0.0
baseline,Otara-Papatoetoe,88,0,136250000.0,0.0,Otara-Papatoetoe,26074.0,31588.0,93000.0,106648.0,52628.0,78686.0,0.2114750325995245,0.00641511099050418,0.1467526881720429,0.004574906364597675,0.49513566922550734,0.013497511660338857,True,0.35249722687603824,False,0.0
baseline,Papakura,79,0,63650000.0,0.0,Papakura,22694.0,29454.0,69511.0,83085.0,20997.0,27384.0,0.29787609059663356,0.008728847873299861,0.1952784451381795,0.0059636846053874315,0.304186312330333,0.008891944903478333,True,0.35249722687603824,False,0.0
baseline,Unmapped / not supplied,7,0,2400000.0,0.0,,,,,,,,,,,,,,False,0.35249722687603824,False,
